STRD_YYMM,SIDO_NM,CCG_NM,GENDER_CD,AGE_CD,TP_BUZ_NO,TP_BUZ_NM,amt,cnt
202605,서울특별시,용산구,2,3,8006,서양음식,734430000,38874
202605,부산광역시,사상구,2,4,8001,일반한식,424220000,10929
202601,경상북도,포항시 북구,1,5,4010,편 의 점,283030000,29848
202601,전라남도,여수시,1,6,4010,편 의 점,204060000,20727
202606,서울특별시,송파구,1,3,4010,편 의 점,575120000,86780
202604,전북특별자치도,군산시,1,5,8021,스넥,106730000,6283
202605,경기도,남양주시,1,4,4004,대형할인점,332770000,8755
202606,경기도,의왕시,1,4,4004,대형할인점,100640000,3592
202604,경상북도,경산시,1,3,4020,슈퍼 마켓,178230000,12081
202605,전북특별자치도,익산시,3,5,8001,일반한식,55830000,1385
202602,경기도,파주시,2,5,8006,서양음식,264380000,15977
202604,서울특별시,도봉구,x,x,8006,서양음식,48560000,8625
202604,서울특별시,도봉구,x,x,8301,제 과 점,28720000,3075
202604,경상남도,창원시 마산회원구,x,x,8001,일반한식,125330000,3263
202604,서울특별시,영등포구,x,x,8006,서양음식,307080000,41012
202604,서울특별시,구로구,x,x,8006,서양음식,125940000,22341
202604,대구광역시,중구,x,x,4004,대형할인점,32250000,1513
202604,서울특별시,서대문구,x,x,8006,서양음식,148120000,20688
202604,서울특별시,동대문구,x,x,8006,서양음식,117510000,20808
202604,경기도,용인시 기흥구,x,x,4010,편 의 점,89900000,12721
202604,경기도,안산시 상록구,1,5,8006,서양음식,126190000,13744
202604,경기도,화성시 효행구,1,3,4010,편 의 점,174490000,19837
202606,경기도,용인시 기흥구,2,5,8001,일반한식,431740000,13206
202601,경기도,수원시 팔달구,3,4,8006,서양음식,30810000,2289
202606,전라남도,구례군,2,5,8301,제 과 점,6860000,383
202603,서울특별시,종로구,1,3,8001,일반한식,1099440000,29684
202606,인천광역시,남동구,1,2,4010,편 의 점,221510000,33975
202606,경기도,파주시,2,4,8021,스넥,50550000,2955
202602,경기도,수원시 권선구,1,5,4010,편 의 점,345810000,38830
202603,충청남도,아산시,1,3,4010,편 의 점,505510000,57077
202606,경상북도,울진군,1,3,4010,편 의 점,33610000,3586
